mileage,make,model,fuel,gear,offerType,price,hp,year
156794,SEAT,Arona,Petrol,Automatic,Used,3923,102.0,2012
163174,BMW,1 Series,Petrol,Manual,New,9036,172.0,2012
97866,Skoda,Octavia,Diesel,Automatic,Used,6278,165.0,2014
500,Skoda,Octavia,Petrol,Manual,Used,15966,128.0,2021
102854,Peugeot,508,Petrol,Manual,Used,6541,50.0,2018
52243,Hyundai,i30,Diesel,Manual,Used,11030,146.0,2020
114196,SEAT,Ibiza,Diesel,Manual,Used,4479,58.0,2012
111330,Ford,Fiesta,Diesel,Automatic,Demonstration,5958,114.0,2015
500,Ford,Mondeo,Petrol,Manual,Used,12527,,2017
84912,Opel,Corsa,Diesel,Automatic,Used,5414,209.0,2015
138636,Peugeot,208,Petrol,Automatic,Used,4207,113.0,2015
115620,Audi,A6,Diesel,Manual,Used,9288,50.0,2014
169127,Mercedes-Benz,C-Class,Petrol,Automatic,Used,7148,186.0,2011
500,Ford,Fiesta,Diesel,Manual,Used,11094,147.0,2020
1271,Volkswagen,Golf,Petrol,Automatic,Used,18446,164.0,2021
176840,BMW,X3,Diesel,Manual,Used,4235,172.0,2011
121285,BMW,5 Series,Diesel,Automatic,Used,10086,202.0,2015
123682,Peugeot,508,Diesel,Manual,Used,4524,70.0,2016
37641,Renault,Megane,Petrol,Manual,Used,8870,50.0,2019
9202,Renault,Clio,Petrol,Manual,Used,11149,153.0,2021
58376,Opel,Astra,Diesel,Manual,Used,5190,97.0,2015
37842,Renault,Clio,Petrol,Automatic,Used,11042,120.0,2019
500,BMW,5 Series,Petrol,Manual,Demonstration,36173,65.0,2021
500,Toyota,Yaris,Petrol,Semi-automatic,Used,14472,140.0,2020
82019,Skoda,Fabia,Petrol,Manual,Used,7068,126.0,2014
97804,Hyundai,Kona,Diesel,Manual,Used,8432,106.0,2019
95530,BMW,1 Series,Petrol,Manual,Used,8186,50.0,2015
172696,Opel,Insignia,Petrol,Manual,Used,2323,159.0,2011
27028,Renault,Kadjar,Petrol,Automatic,Used,6450,140.0,2019
500,Opel,Mokka,Diesel,Manual,Used,11785,164.0,2020
152764,Opel,Insignia,Petrol,Automatic,Used,3071,50.0,2014
28973,BMW,1 Series,Diesel,Manual,New,19598,112.0,2015
85582,Ford,Focus,Petrol,Manual,Used,7998,77.0,2015
148088,Mercedes-Benz,GLC,Diesel,Manual,Used,8599,108.0,2012
23067,Audi,A4,Diesel,Automatic,Used,24935,172.0,2021
139574,Renault,Captur,Petrol,Manual,Used,2629,122.0,2011
10671,SEAT,Arona,Electric,Automatic,Demonstration,17416,127.0,2017
136962,SEAT,Leon,Diesel,Manual,Used,3049,106.0,2011
33793,Ford,Focus,Petrol,Manual,Used,10733,50.0,2018
2942,Hyundai,i30,Petrol,Automatic,Used,18101,88.0,2020
93952,BMW,5 Series,Hybrid,Automatic,Used,18893,177.0,2018
32524,Ford,Mondeo,Petrol,Automatic,Used,11150,103.0,2017
40534,BMW,1 Series,Diesel,Manual,Used,24390,165.0,2020
20540,Ford,Kuga,Diesel,Automatic,New,19004,167.0,2021
63616,Hyundai,Kona,Petrol,Manual,Used,10830,154.0,2020
130340,Ford,Fiesta,Diesel,Semi-automatic,Used,3914,122.0,2013
102690,Toyota,Corolla,Electric,Manual,Demonstration,13164,91.0,2017
23972,Opel,Mokka,Electric,Automatic,New,15914,122.0,2020
135204,Renault,Captur,Hybrid,Manual,Used,4824,137.0,2014
7397,Opel,Insignia,Diesel,Automatic,Used,10313,50.0,2018
72660,Audi,A4,Petrol,Automatic,New,12161,176.0,2011
43214,Peugeot,3008,Petrol,Automatic,Used,9560,106.0,2020
90091,Hyundai,Kona,Diesel,Manual,Used,6882,107.0,2017
61643,Audi,A4,Diesel,Manual,Used,15909,110.0,2019
11627,Peugeot,208,Diesel,Automatic,New,16667,127.0,2020
187140,Audi,A3,Diesel,Automatic,Used,5781,63.0,2013
88904,Renault,Clio,Hybrid,Automatic,Used,5573,131.0,2015
44731,Peugeot,308,Petrol,Manual,Used,10719,141.0,2020
170812,Opel,Insignia,Diesel,Manual,Used,2797,50.0,2012
90156,Renault,Kadjar,Petrol,Manual,Used,7255,55.0,2020
108904,Audi,A3,Diesel,Automatic,Used,8447,163.0,2014
52138,Volkswagen,Tiguan,Diesel,Manual,Used,11952,143.0,2017
37565,BMW,X3,Diesel,Manual,Used,14313,123.0,2016
114333,Opel,Astra,Petrol,Automatic,Demonstration,8406,96.0,2018
44749,Toyota,Corolla,Petrol,Automatic,Used,14323,161.0,2020
135857,BMW,5 Series,Petrol,Automatic,Used,8777,69.0,2014
259085,Opel,Mokka,Electric,Manual,Used,2270,100.0,2012
116377,Renault,Kadjar,Diesel,Manual,Used,4519,50.0,2015
29419,Mercedes-Benz,GLC,Petrol,Manual,Used,25582,104.0,2017
38143,Renault,Captur,Diesel,Manual,Used,8293,67.0,2019
10883,Audi,A4,Diesel,Automatic,Used,27915,162.0,2019
106145,Peugeot,308,Petrol,Manual,Used,4681,127.0,2014
909,Skoda,Kodiaq,Diesel,Manual,Used,17782,89.0,2021
144454,Skoda,Octavia,Diesel,Manual,Used,2947,154.0,2011
101235,Mercedes-Benz,E-Class,Diesel,Automatic,Demonstration,12571,78.0,2012
220738,Opel,Astra,Diesel,Automatic,Used,2253,118.0,2011
25460,Toyota,Corolla,Hybrid,Manual,New,22489,87.0,2021
142108,Volkswagen,Polo,Diesel,Manual,Used,5205,139.0,2012
101517,Peugeot,208,Petrol,Manual,Used,6254,140.0,2017
61487,Opel,Corsa,Hybrid,Automatic,Used,8405,187.0,2019
54649,Renault,Kadjar,Petrol,Manual,Used,5943,117.0,2019
38975,SEAT,Ateca,Diesel,Manual,Used,14276,50.0,2021
169688,Opel,Mokka,Electric,Automatic,Used,3294,101.0,2011
128458,Audi,Q5,Diesel,Automatic,Used,9997,194.0,2015
116359,SEAT,Arona,Diesel,Automatic,Used,5749,110.0,2016
65695,BMW,5 Series,Petrol,Manual,Used,17774,50.0,2018
67286,SEAT,Arona,Diesel,Automatic,Used,7924,146.0,2017
128564,BMW,1 Series,Petrol,Manual,Used,12247,135.0,2017
103273,SEAT,Arona,Diesel,Manual,Used,4832,75.0,2014
163696,SEAT,Leon,Petrol,Automatic,Used,3050,110.0,2012
119487,BMW,3 Series,Petrol,Manual,Used,10539,71.0,2015
113665,Peugeot,3008,Hybrid,Automatic,Used,5616,146.0,2013
46726,Ford,Mondeo,Diesel,Manual,Used,8037,114.0,2017
32615,Peugeot,508,Diesel,Manual,Used,9129,61.0,2019
57772,Volkswagen,Passat,Hybrid,Automatic,Used,12147,126.0,2017
23965,Mercedes-Benz,C-Class,Petrol,Manual,Used,19087,78.0,2017
142198,Opel,Corsa,Diesel,Automatic,Used,3893,186.0,2011
69318,Mercedes-Benz,A-Class,Diesel,Automatic,Used,17728,167.0,2018
149308,Audi,A6,Petrol,Manual,Used,8410,103.0,2015
169404,SEAT,Leon,Petrol,Automatic,Used,3469,125.0,2012
44016,BMW,5 Series,Petrol,Automatic,Demonstration,12401,168.0,2013
67446,Renault,Clio,Electric,Automatic,Demonstration,9599,120.0,2019
500,BMW,5 Series,Diesel,Manual,Used,27943,149.0,2021
105858,Mercedes-Benz,A-Class,Diesel,Automatic,Used,14444,191.0,2016
14505,SEAT,Ibiza,Petrol,Automatic,Used,14349,108.0,2021
143256,Peugeot,508,Electric,Automatic,Used,4725,195.0,2012
116422,Mercedes-Benz,C-Class,Diesel,Manual,Used,9093,169.0,2014
14215,Audi,A6,Petrol,Manual,Used,26818,126.0,2021
197054,Hyundai,i30,Diesel,Automatic,Used,3167,101.0,2012
59312,Hyundai,Kona,Diesel,Automatic,Used,9959,138.0,2018
172994,Skoda,Kodiaq,Electric,Automatic,Demonstration,6184,111.0,2013
152897,Opel,Insignia,Diesel,Automatic,Used,3794,87.0,2014
113347,Ford,Kuga,Diesel,Manual,New,9658,134.0,2016
57468,SEAT,Ateca,Petrol,Automatic,Used,6911,77.0,2014
69082,SEAT,Ateca,Diesel,Manual,Used,10405,99.0,2020
500,Audi,A3,,Manual,Used,21394,100.0,2021
115050,Volkswagen,Polo,Petrol,Manual,Used,7797,50.0,2016
55961,BMW,3 Series,Diesel,Automatic,Used,14647,155.0,2016
123522,Hyundai,i30,Petrol,Manual,Demonstration,4113,95.0,2011
204174,Opel,Insignia,Diesel,Manual,Used,2271,165.0,2013
131506,Opel,Astra,Diesel,Manual,Used,3640,94.0,2011
70114,Opel,Astra,Petrol,Manual,Demonstration,6370,96.0,2020
139145,Peugeot,508,Diesel,Automatic,Used,4479,81.0,2013
105296,Volkswagen,Polo,Electric,Manual,Used,8551,110.0,2014
28431,Volkswagen,Golf,Electric,Manual,Used,14459,116.0,2020
14462,Audi,A6,Petrol,Manual,Used,25413,145.0,2018
74519,Opel,Insignia,Diesel,Automatic,Used,7092,129.0,2017
127104,Renault,Kadjar,Diesel,Automatic,Used,2552,,2011
61159,Opel,Mokka,Electric,Automatic,Used,8691,147.0,2017
107385,Opel,Mokka,Petrol,Manual,Used,5590,67.0,2017
128897,Hyundai,Tucson,Petrol,Manual,Used,5394,60.0,2014
500,BMW,5 Series,Petrol,Manual,Used,21878,137.0,2019
44802,Skoda,Kodiaq,Diesel,Semi-automatic,Used,8729,69.0,2021
134752,Skoda,Fabia,Diesel,Manual,Used,5487,134.0,2013
101024,Opel,Corsa,Petrol,Manual,Used,4697,148.0,2014
146134,Peugeot,508,Petrol,Automatic,Used,3122,164.0,2014
24148,Audi,Q5,Diesel,Automatic,Used,24667,90.0,2020
124202,Hyundai,i30,Petrol,Manual,Used,3965,146.0,2011
94673,Audi,A6,Petrol,Automatic,Used,17641,144.0,2020
44395,Skoda,Kodiaq,Diesel,Manual,Used,9860,86.0,2019
87152,Skoda,Kodiaq,Diesel,Manual,Used,6661,103.0,2016
60821,Toyota,Yaris,Petrol,Manual,Used,9370,132.0,2017
71299,Opel,Insignia,Petrol,Semi-automatic,Used,8318,84.0,2020
26629,Audi,A3,Hybrid,Manual,Used,25583,,2019
65926,Volkswagen,Tiguan,Diesel,Automatic,Used,6223,188.0,2014
141246,Ford,Focus,Electric,Manual,Used,4790,148.0,2011
106437,Peugeot,508,Petrol,Automatic,Used,7312,131.0,2018
179125,Volkswagen,Golf,Petrol,Automatic,Used,4332,132.0,2012
156074,Toyota,Corolla,Diesel,Automatic,Used,3869,96.0,2011
63064,Skoda,Octavia,Diesel,Automatic,Used,15121,107.0,2021
116178,BMW,1 Series,Petrol,Automatic,Used,12779,56.0,2016
50669,Audi,A4,Diesel,Automatic,Used,17711,138.0,2018
129193,Skoda,Superb,Diesel,Manual,Used,4745,138.0,2013
161526,Audi,A3,Electric,Semi-automatic,New,12176,103.0,2012
135884,BMW,5 Series,Diesel,Manual,Used,7268,66.0,2011
120158,SEAT,Arona,Hybrid,Manual,Used,4867,111.0,2014
175798,Renault,Kadjar,Petrol,Manual,New,3129,165.0,2011
45956,BMW,3 Series,Petrol,Manual,Used,14115,149.0,2015
113374,Audi,A4,Diesel,Automatic,Used,8686,122.0,2014
79393,Mercedes-Benz,E-Class,Petrol,Manual,Used,11052,202.0,2016
110982,SEAT,Ateca,Petrol,Manual,Demonstration,7088,232.0,2017
55443,Renault,Captur,Electric,Automatic,Used,7691,101.0,2014
76647,Renault,Clio,Diesel,Automatic,Used,7436,114.0,2016
148139,Hyundai,Kona,Diesel,Manual,Used,3094,136.0,2011
153602,Peugeot,208,Hybrid,Semi-automatic,Used,4013,67.0,2014
13476,Audi,A4,Diesel,Manual,Used,27108,153.0,2021
77863,BMW,1 Series,Petrol,Manual,Used,18000,120.0,2021
113177,SEAT,Ateca,Diesel,Automatic,Used,5813,142.0,2016
642,Toyota,Corolla,Diesel,Automatic,Used,19024,104.0,2021
98388,Hyundai,Kona,Petrol,Automatic,Used,5588,90.0,2016
137608,Mercedes-Benz,E-Class,Petrol,Manual,Used,6560,50.0,2012
60079,Mercedes-Benz,A-Class,Petrol,Manual,Used,21115,181.0,2020
58373,Volkswagen,Golf,Petrol,Manual,Used,8998,151.0,2015
46171,BMW,3 Series,Petrol,Semi-automatic,Used,13166,141.0,2017
75949,Skoda,Fabia,Hybrid,Manual,Used,10018,128.0,2018
162901,Skoda,Superb,Diesel,Manual,Used,3594,50.0,2014
500,Ford,Mondeo,Diesel,Manual,Used,11252,79.0,2019
138106,Audi,A4,Diesel,Automatic,Used,11675,113.0,2016
100095,Peugeot,508,Petrol,Manual,Used,4880,60.0,2015
54064,Opel,Insignia,Diesel,Automatic,Used,6386,50.0,2014
500,Peugeot,208,Petrol,Automatic,Used,11205,84.0,2019
81471,Hyundai,Tucson,Petrol,Manual,Used,5793,109.0,2013
149310,Audi,A6,Petrol,Manual,Used,7460,108.0,2012
27694,Mercedes-Benz,E-Class,Petrol,Manual,Used,24289,155.0,2020
142162,Hyundai,i30,Petrol,Automatic,Used,4219,216.0,2014
40768,SEAT,Leon,Petrol,Automatic,Used,10192,158.0,2018
21219,Audi,A6,Diesel,Manual,Used,18051,104.0,2018
15542,SEAT,Ateca,Petrol,Automatic,Used,13117,210.0,2020
76176,Skoda,Fabia,Diesel,Manual,Used,8024,50.0,2017
68077,Toyota,Corolla,Petrol,Automatic,Used,8495,50.0,2018
2379,Audi,A4,Diesel,Semi-automatic,Used,21652,74.0,2020
46551,Hyundai,i30,Diesel,Automatic,Used,11496,167.0,2021
143251,Hyundai,i30,Diesel,Manual,Used,3291,113.0,2011
14560,Mercedes-Benz,E-Class,Petrol,Manual,Used,20038,62.0,2019
131016,BMW,X3,Electric,Semi-automatic,Used,8245,73.0,2012
67619,Skoda,Octavia,Diesel,Manual,Used,10769,58.0,2020
160352,Volkswagen,Passat,Diesel,Automatic,Used,3799,64.0,2011
110692,Audi,A3,Diesel,Automatic,Used,9796,192.0,2013
167414,Opel,Corsa,Hybrid,Automatic,Used,3103,116.0,2013
149996,Hyundai,Kona,Petrol,Automatic,New,7557,206.0,2017
172339,Hyundai,Kona,Diesel,Manual,Used,3615,65.0,2011
208184,BMW,X3,Petrol,Automatic,Used,4782,142.0,2011
126263,Toyota,RAV4,Petrol,Manual,Used,5052,120.0,2016
500,BMW,3 Series,Petrol,Automatic,Used,30795,170.0,2021
90932,Renault,Megane,Petrol,Manual,Used,5123,121.0,2016
60111,Toyota,RAV4,Petrol,Automatic,Used,9231,168.0,2015
52827,Toyota,C-HR,Petrol,Automatic,Used,11672,152.0,2018
53083,Mercedes-Benz,A-Class,Diesel,,Used,18121,77.0,2017
90899,Toyota,C-HR,Diesel,Manual,Used,7221,142.0,2015
48754,BMW,5 Series,Diesel,Manual,Used,15106,106.0,2017
154952,Skoda,Octavia,Diesel,Automatic,Used,4216,85.0,2011
153628,Opel,Astra,Diesel,Automatic,Used,2552,153.0,2013
55818,Audi,A6,Petrol,Manual,Used,14537,153.0,2018
54747,Volkswagen,Passat,Petrol,Automatic,Used,7445,101.0,2014
138886,Peugeot,308,Diesel,Automatic,New,3512,104.0,2011
96821,Ford,Mondeo,Diesel,Automatic,Used,4455,59.0,2012
38542,SEAT,Ateca,Petrol,Automatic,Used,10630,50.0,2020
137616,Ford,Fiesta,Petrol,Semi-automatic,Used,5123,97.0,2014
173979,Ford,Focus,Diesel,Automatic,Used,3341,156.0,2011
17441,Toyota,RAV4,Petrol,Manual,Used,13063,87.0,2019
98640,BMW,X3,Diesel,Semi-automatic,New,15660,174.0,2016
88546,Renault,Clio,Diesel,Automatic,Used,4790,115.0,2015
500,Renault,Megane,Petrol,Automatic,Used,13443,120.0,2020
145968,Ford,Fiesta,Petrol,Automatic,Used,5428,110.0,2014
103631,Audi,A6,Diesel,Automatic,New,16097,170.0,2017
78211,Volkswagen,Golf,Petrol,Manual,New,17045,70.0,2019
53708,Hyundai,Kona,Electric,Manual,Used,9607,105.0,2017
176278,Hyundai,i30,Diesel,Manual,Used,3119,82.0,2013
42725,Mercedes-Benz,E-Class,Petrol,Automatic,Used,20797,102.0,2018
67873,Volkswagen,Golf,Diesel,Automatic,Used,13043,130.0,2019
132118,BMW,1 Series,Petrol,Manual,Used,7086,101.0,2012
142161,Volkswagen,Golf,Diesel,Manual,Used,4544,153.0,2012
500,Peugeot,508,Diesel,Automatic,Used,12216,127.0,2018
139433,Toyota,Corolla,Diesel,Manual,Used,4247,131.0,2012
33188,BMW,1 Series,Petrol,Manual,Used,21449,122.0,2020
135648,Renault,Clio,Diesel,Manual,Used,4116,169.0,2012
76467,Mercedes-Benz,C-Class,Electric,Automatic,Used,23952,116.0,2021
19314,Ford,Mondeo,Diesel,Automatic,Used,10697,,2018
85275,SEAT,Arona,Petrol,Automatic,Used,7463,158.0,2015
103329,Renault,Captur,Petrol,Manual,Used,4294,93.0,2013
100268,Toyota,Yaris,Diesel,Manual,Used,7088,130.0,2014
81099,Volkswagen,Tiguan,Petrol,Automatic,Used,10438,233.0,2019
